Model: iE2348C_1286, AUC: 0.6395, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.4772, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3652, F1: 0.0722, Accuracy: 0.5009
Model: iE2348C_1286, AUC: 0.6017, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3573, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6570, F1: 0.0180, Accuracy: 0.4963
Model: iE2348C_1286, AUC: 0.3717, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3625, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3626, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3809, F1: 0.0000, Accuracy: 0.4991
Model: iE2348C_1286, AUC: 0.3746, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3781, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3568, F1: 0.0288, Accuracy: 0.5018
Model: iE2348C_1286, AUC: 0.3685, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3790, F1: 0.6667, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.6329, F1: 0.0559, Accuracy: 0.5009
Model: iE2348C_1286, AUC: 0.6488, F1: 0.0073, Accuracy: 0.4991
Model: iE2348C_1286, AUC: 0.6522, F1: 0.0000, Accuracy: 0.5000
Model: iE2348C_1286, AUC: 0.3575, F1: 0.0986, Accuracy: 0.5102
Model: iE2348C_1286, AUC: 0.6388, F1: 0.0000, Accuracy: 0.5000
